tags	Title	Speaker	Description	Video_Url	Video_Url2	related_urls	recorded	language	folder
h	ONNX Steering Committee Update	Prasanth Pulavarthi (Microsoft), Alexandre Eichenberger (IBM), Rajeev Nalawadi (Intel), Mayank Kaushik (NVIDIA), Andreas Fehlner (TRUMPF Laser GmbH)		https://youtu.be/3vLtVL5n1y4	https://wiki.lfaidata.foundation/download/attachments/61964495/01video_SteeringCommittee.mp4?version=1&modificationDate=1657218148000&api=v2	"""label"": ""Presentation (PDF)"", ""url"":  ""https://wiki.lfaidata.foundation/download/attachments/61964495/01_SteeringCommittee.pdf?version=1&modificationDate=1657154266000&api=v2"""	2022-06-24	eng	onnxcommunity-2022_06
Onnxcommunityday-2022_06, SIG	ONNX SIG: Arch & Infra	Liqun Fu (Microsoft)		https://youtu.be/rervhzv8C1c	https://wiki.lfaidata.foundation/download/attachments/61964495/sig-wg-updated-infa.mp4?version=1&modificationDate=1657639479000&api=v2	"""label"": ""Presentation (PDF)"", ""url"":  ""https://wiki.lfaidata.foundation/download/attachments/61964495/02_ArchInfra.pdf?version=1&modificationDate=1657154284000&api=v2"""	2022-06-24	eng	onnxcommunity-2022_06
Onnxcommunityday-2022_06, Operators	ONNX SIG: Operators	Ganesan Ramalingam (Microsoft)		https://youtu.be/rervhzv8C1c?t=317	https://wiki.lfaidata.foundation/download/attachments/61964495/sig-wg-updated-ops.mp4?version=1&modificationDate=1657639479000&api=v2	"""label"": ""Presentation (PDF)"", ""url"":  ""https://wiki.lfaidata.foundation/download/attachments/61964495/03_Operators.pdf?version=1&modificationDate=1657154297000&api=v2"""	2022-06-24	eng	onnxcommunity-2022_06
Onnxcommunityday-2022_06, converters	ONNX SIG: Converters	Kevin Chen (NVIDIA)		https://youtu.be/rervhzv8C1c?t=873	https://wiki.lfaidata.foundation/download/attachments/61964495/sig-wg-updated-converter.mp4?version=1&modificationDate=1657639479000&api=v2	"""label"": ""Presentation (PDF)"", ""url"":  ""https://wiki.lfaidata.foundation/download/attachments/61964495/04_Converters.pdf?version=1&modificationDate=1657154304000&api=v2"""	2022-06-24	eng	onnxcommunity-2022_06
Onnxcommunityday-2022_06, models, tutorials	ONNX SIG: Model & Tutorials	Jacky Chen (Microsoft)		https://youtu.be/rervhzv8C1c?t=1388	https://wiki.lfaidata.foundation/download/attachments/61964495/sig-wg-updated-zoo.mp4?version=1&modificationDate=1657639467000&api=v2	"""label"": ""Presentation (PDF)"", ""url"":  ""https://wiki.lfaidata.foundation/download/attachments/61964495/05_Model%26Tutorial.pdf?version=1&modificationDate=1657154311000&api=v2"""	2022-06-24	eng	onnxcommunity-2022_06
Onnxcommunityday-2022_06, Pre-processing	ONNX WG: Pre-processing	Joaquin Anton (NVIDIA)		https://youtu.be/rervhzv8C1c?t=1909	https://wiki.lfaidata.foundation/download/attachments/61964495/06video_Preprocessing.mp4?version=1&modificationDate=1657154328000&api=v2	"""label"": ""Presentation (PDF)"", ""url"":  ""https://wiki.lfaidata.foundation/download/attachments/61964495/06_Preprocessing.pdf?version=2&modificationDate=1657225586000&api=v2"""	2022-06-24	eng	onnxcommunity-2022_06
Onnxcommunityday-2022_06, optimization	Designed to be Optimized	Mauro Bennici (GhostWriter.AI)	ONNX Runtime allows us to export our models for different platforms and systems. Optimization, however, starts with design. Leaving it when everything seems ready to go a production could make effective optimization impossible. We will see the frequent mistakes and how to avoid them. \n\n\n	https://youtu.be/2cMJrba4Pp8	https://wiki.lfaidata.foundation/download/attachments/61964495/01video_GhostwriterAI.mp4?version=1&modificationDate=1657217407000&api=v2	"""label"": ""Presentation (PDF)"", ""url"":  ""https://wiki.lfaidata.foundation/download/attachments/61964495/01_GhostwriterAI.pdf?version=1&modificationDate=1657154865000&api=v2"""	2022-06-24	eng	onnxcommunity-2022_06
Onnxcommunityday-2022_06, int8, qat, tensorrt	INT8 Inference of Quantization-Aware trained models using ONNX-TensorRT	Dheeraj Peri (NVIDIA)	Accelerating Deep Neural Networks (DNN) inference is an important step in realizing latency-critical deployment of real-world applications such as image classification, image segmentation, natural language processing, etc. The need to improve DNN's inference latency has sparked interest in running those models in lower precisions, such as FP16 and INT8. In particular, running DNNs in INT8 precision can offer faster inference and a much lower memory footprint than its floating-point counterpart. NVIDIA TensorRT supports Quantization-Aware Training (QAT) techniques to convert floating-point DNN models to INT8 precision. In this talk, we shall demonstrate end-end workflow of converting Tensorflow QAT models into ONNX, which is a standard intermediate representation to deploy using TensorRT. We use TF2ONNX package to convert a quantized Tensorflow model into ONNX. ONNX format makes it easier to visualize graphs via netron which can provide users information about placement of quantized nodes. 	https://www.youtube.com/watch?v=WEqzbBDqs2I	https://wiki.lfaidata.foundation/download/attachments/61964495/02video_NVIDIA_TensorRT.mp4?version=1&modificationDate=1657155092000&api=v2	"""label"": ""Presentation (PDF)"", ""url"":  ""https://wiki.lfaidata.foundation/download/attachments/61964495/02_NVIDIA_TensorRT.pdf?version=1&modificationDate=1657155078000&api=v2"""	2022-06-24	eng	onnxcommunity-2022_06
Onnxcommunityday-2022_06,, qonnx	QONNX: A proposal for representing arbitrary-precision quantized NNs in ONNX	Alessandro Pappalardo (AMD)	We present extensions to the Open Neural Network Exchange (ONNX) intermediate representation format to represent arbitrary-precision quantized neural networks. We first introduce support for low precision quantization in existing ONNX-based quantization formats by leveraging integer clipping, resulting in two new backward-compatible variants: the quantized operator format with clipping and quantize-clip-dequantize (QCDQ) format. We then introduce a novel higher-level ONNX format called quantized ONNX (QONNX) that introduces three new operators —Quant, BipolarQuant, and Trunc— in order to represent uniform quantization. By keeping the QONNX IR high-level and flexible, we enable targeting a wider variety of platforms. We also present utilities for working with QONNX, as well as examples of its usage in the FINN and hls4ml toolchains. Finally, we introduce the QONNX model zoo to share low precision quantized neural networks. 	https://youtu.be/b0ik9tDMJlg	https://wiki.lfaidata.foundation/download/attachments/61964495/amd-updated.mp4?version=1&modificationDate=1657637684000&api=v2	"""label"": ""Presentation (PDF)"", ""url"":  ""https://wiki.lfaidata.foundation/download/attachments/61964495/03_AMD.pdf?version=1&modificationDate=1657155097000&api=v2"""	2022-06-24	eng	onnxcommunity-2022_06
Onnxcommunityday-2022_06, privacy	How to reconcile AI and privacy	Daniel Huynh (Mithril Security)	AI is revolutionising many fields from healthcare to biometrics these recent years. However due to security and privacy concerns, data is still being siloed and not shared enough due to the fear of data exposure and IP leakage. Confidential Computing is a recent technology that enables end-to-end encryption when analysing sensitive data. By leveraging Confidential Computing, data owners can share their data to AI companies, for instance to train or consume an AI model, without ever risking their data being stolen, leaked or used for any other purpose, as data remains protected even when shared to third parties. This talk aims to introduce the high level principles of Confidential Computing and how it can be used to deploy privacy friendly AI models. We will present BlindAI, an AI deployment solution, serving ONNX models with privacy guarantees, and see how it can be used to unlock confidential medical document analysis in the Cloud, or facial recognition with privacy guarantees. 	https://youtu.be/OXrSvTG9310	https://wiki.lfaidata.foundation/download/attachments/61964495/mithrilsecurity-updated.mp4?version=1&modificationDate=1657640911000&api=v2	"""label"": ""Presentation (PDF)"", ""url"":  ""https://wiki.lfaidata.foundation/download/attachments/61964495/04_MithrilSecurity.pdf?version=1&modificationDate=1657155109000&api=v2"""	2022-06-24	eng	onnxcommunity-2022_06
